docid,length
1,28
2,20
3,20
4,20
5,28
6,28
7,20
8,28
9,28
10,28
11,20
12,20
13,20
14,20
15,20
16,20
17,20
18,28
19,20
20,28
21,20
22,28
23,40
24,20
25,40
26,20
27,28
28,56
29,20
30,20
31,28
32,616
33,56
34,80
35,28
36,168
37,28
38,22
39,20
40,20
41,30
42,28
43,28
44,28
45,40
46,40
47,40
48,40
49,40
50,56
51,56
52,28
53,40
54,56
55,40
56,28
57,56
58,28
59,28
60,28
61,80
62,40
63,41
64,56
65,40
66,40
67,40
68,56
69,56
70,840
71,20
72,126
73,40
74,126
75,56
76,56
77,40
78,40
79,40
80,140
81,40
82,223
83,40
84,280
85,56
86,56
87,40
88,40
89,56
90,181
91,120
92,56
93,178
94,40
95,56
96,40
97,40
98,241
99,56
100,280
101,40
102,40
103,28
104,28
105,28
106,40
107,28
108,56
109,579
110,40
111,56
112,197
113,40
114,56
115,28
116,203
117,140
118,462
119,224
120,56
121,200
122,30
123,60
124,176
125,42
126,191
127,285
128,295
129,40
130,40
131,70
132,103
133,82
134,115
135,93
136,40
137,20
138,20
139,30
140,20
141,84
142,126
143,191
144,40
145,40
146,56
147,56
148,40
149,366
150,28
151,56
152,40
153,40
154,28
155,56
156,28
157,56
158,112
159,112
160,28
161,20
162,28
163,40
164,56
165,40
166,40
167,40
168,56
169,28
170,28
171,40
172,40
173,56
174,28
175,40
176,42
177,120
178,40
179,56
180,40
181,40
182,40
183,40
184,40
185,60
186,40
187,40
188,40
189,50
190,30
191,50
192,40
193,40
194,56
195,56
196,80
197,20
198,40
199,40
200,40
201,40
202,40
203,40
204,40
205,28
206,28
207,28
208,40
209,50
210,40
211,40
212,40
213,40
214,56
215,56
216,210
217,140
218,60
219,28
220,40
221,40
222,224
223,40
224,50
225,40
226,40
227,56
228,40
229,40
230,60
231,40
232,56
233,40
234,100
235,40
236,28
237,40
238,56
239,40
240,56
241,28
242,40
243,40
244,56
245,54
246,168
247,20
248,56
249,28
250,28
